,model_type,min_val_er,last_val_er,seed,N,num_params
0,CifarMinFP-LS,5.8599999999999985,5.8599999999999985,723,9,801722
1,CifarMinFP-LS,5.769999999999998,5.879999999999996,744,9,801722
2,CifarMinFP-LS,6.020000000000003,6.030000000000002,16,9,801722
3,CifarMinFP-LS,6.040000000000001,6.0799999999999965,9,9,801722
4,CifarMinFP-LS,5.959999999999999,6.089999999999995,723,7,606842
5,CifarMinFP-LS,5.9200000000000035,6.089999999999995,507,9,801722
6,CifarMinFP-LS,6.020000000000003,6.110000000000005,507,7,606842
7,CifarPyrResNet,6.059999999999999,6.120000000000003,9,9,854938
8,CifarPyrResNet,6.0799999999999965,6.15,507,9,854938
9,CifarMinFP-LS,6.0799999999999965,6.159999999999998,744,7,606842
10,CifarMinFP-LS,6.15,6.279999999999997,16,7,606842
11,CifarMinFP-LS,6.240000000000001,6.2999999999999945,9,7,606842
12,CifarPyrResNet,6.120000000000003,6.310000000000004,16,9,854938
13,CifarPyrResNet,6.310000000000004,6.35,723,9,854938
14,CifarPyrResNet,6.179999999999996,6.410000000000005,744,9,854938
15,CifarMinFP-LS,6.469999999999998,6.5799999999999965,16,5,411962
16,CifarPyrResNet,6.540000000000001,6.6400000000000015,507,7,660058
17,CifarMinFP-LS,6.659999999999999,6.659999999999999,9,5,411962
18,CifarPyrResNet,6.559999999999999,6.659999999999999,723,7,660058
19,CifarPyrResNet,6.530000000000003,6.779999999999998,16,7,660058
20,CifarPyrResNet,6.610000000000005,6.820000000000004,9,7,660058
21,CifarMinFP-LS,6.769999999999998,6.940000000000001,723,5,411962
22,CifarPyrResNet,6.75,6.999999999999995,744,7,660058
23,CifarMinFP-LS,6.930000000000003,7.020000000000004,744,5,411962
24,CifarMinFP-LS,6.989999999999997,7.099999999999995,507,5,411962
25,CifarPyrResNet,7.0699999999999985,7.130000000000003,507,5,465178
26,CifarPyrResNet,6.840000000000002,7.169999999999998,16,5,465178
27,CifarPyrResNet,7.050000000000001,7.189999999999996,744,5,465178
28,CifarPyrResNet,7.1200000000000045,7.220000000000004,9,5,465178
29,CifarPyrResNet,7.06,7.279999999999998,723,5,465178
30,CifarMinFP-LS,7.540000000000003,7.699999999999996,9,3,217082
31,CifarMinFP-LS,7.709999999999995,7.979999999999999,744,3,217082
32,CifarPyrResNet,7.850000000000001,7.989999999999997,507,3,270298
33,CifarPyrResNet,7.909999999999995,8.040000000000003,744,3,270298
34,CifarMinFP-LS,7.960000000000001,8.140000000000002,723,3,217082
35,CifarPyrResNet,7.889999999999997,8.189999999999998,9,3,270298
36,CifarMinFP-LS,8.089999999999996,8.199999999999996,507,3,217082
37,CifarMinFP-LS,8.009999999999994,8.220000000000006,16,3,217082
38,CifarPyrResNet,8.250000000000002,8.479999999999999,723,3,270298
39,CifarPyrResNet,8.420000000000005,8.919999999999995,16,3,270298
